,review/appearance,review/palate,review/taste,review/overall,beer/style,beer/name_beer/beerId,review/profileName,review/time,manual_labels
8948,review/appearance: 3/5,review/palate: 3/5,review/taste: 4/10,review/overall: 12/20,beer/style: Belgian White (Witbier),beer/name: Barley Island Sheet Metal Blondebeer/beerId: 35731,review/profileName: tytoanderso,review/time: 1181347200,YES
14061,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 13/20,beer/style: Spice/Herb/Vegetable,beer/name: Mountain Goat Seedy Goat Coffee IPAbeer/beerId: 150918,review/profileName: gam,review/time: 1319328000,NO
11186,review/appearance: 3/5,review/palate: 3/5,review/taste: 6/10,review/overall: 12/20,beer/style: Bitter,beer/name: Sharps Cornish Coasterbeer/beerId: 28956,review/profileName: anders37,review/time: 1262390400,YES
28147,review/appearance: 5/5,review/palate: 4/5,review/taste: 8/10,review/overall: 17/20,beer/name: The Duck-Rabbit Rabid Duck Russian Imperial Stoutbeer/beerId: 54634,beer/style: Imperial Stout,review/profileName: beernovice39,review/time: 1304985600,YES
20699,review/appearance: 4/5,review/palate: 3/5,review/taste: 6/10,review/overall: 12/20,beer/style: Brown Ale,beer/name: Barley Island Dirty Helen Brown Alebeer/beerId: 19690,review/profileName: NobleSquirrel,review/time: 1242172800,NO
14463,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 14/20,beer/style: Belgian Strong Ale,beer/name: RJ Brune dAchouffebeer/beerId: 15156,review/profileName: rederic,review/time: 1144195200,YES
27911,review/appearance: 5/5,review/palate: 4/5,review/taste: 7/10,review/overall: 16/20,beer/name: Barley Island Beastie Barrel Stoutbeer/beerId: 91689,beer/style: Stout,review/profileName: bretupdegraff,review/time: 1218672000,NO
27568,review/appearance: 5/5,review/palate: 3/5,review/taste: 6/10,review/overall: 14/20,beer/name: The Duck-Rabbit Porterbeer/beerId: 38878,beer/style: Porter,review/profileName: nuplastikk,review/time: 1270425600,NO
8896,review/appearance: 3/5,review/palate: 3/5,review/taste: 4/10,review/overall: 10/20,beer/style: English Pale Ale,beer/name: Siboire Calvairebeer/beerId: 83307,review/profileName: Sammy,review/time: 1290556800,YES
27842,review/appearance: 5/5,review/palate: 4/5,review/taste: 7/10,review/overall: 14/20,beer/name: The Duck-Rabbit Amber Alebeer/beerId: 38876,beer/style: Amber Ale,review/profileName: emerica56,review/time: 1196035200,NO
112,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,beer/style: Belgian Strong Ale,review/appearance: 3/5,review/palate: 4/5,review/taste: 9/10,review/overall: 17/20,review/time: 1144886400,review/profileName: JAF737300,YES
8789,review/appearance: 3/5,review/palate: 3/5,review/taste: 2/10,review/overall: 6/20,beer/style: Amber Ale,beer/name: The Duck-Rabbit Amber Alebeer/beerId: 38876,review/profileName: Oddefellowe,review/time: 1262217600,NO
15000,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 14/20,beer/style: Traditional Ale,beer/name: Barley Island Sinister Minister Belgian Black Alebeer/beerId: 77833,review/profileName: golubj,review/time: 1205539200,YES
21573,review/appearance: 4/5,review/palate: 3/5,review/taste: 6/10,review/overall: 15/20,beer/style: Sweet Stout,beer/name: The Duck-Rabbit Milk Stoutbeer/beerId: 38879,review/profileName: cewldre,review/time: 1166486400,NO
9841,review/appearance: 3/5,review/palate: 3/5,review/taste: 5/10,review/overall: 12/20,beer/style: Belgian Ale,beer/name: Brunehaut Villages Blondebeer/beerId: 6997,review/profileName: altonbrownd,review/time: 1291939200,YES
9324,review/appearance: 3/5,review/palate: 3/5,review/taste: 5/10,review/overall: 10/20,beer/style: German Hefeweizen,beer/name: RJ Blanche de llebeer/beerId: 125916,review/profileName: MXD,review/time: 1279497600,YES
27459,review/appearance: 5/5,review/palate: 2/5,review/taste: 6/10,review/overall: 13/20,beer/name: Barley Island Black Majic Java Stoutbeer/beerId: 56572,beer/style: Stout,review/profileName: Sombeast,review/time: 1180224000,NO
1026,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,beer/style: Belgian Strong Ale,review/appearance: 4/5,review/palate: 5/5,review/taste: 10/10,review/overall: 18/20,review/time: 1150761600,review/profileName: JJClark,YES
22286,review/appearance: 4/5,review/palate: 3/5,review/taste: 7/10,review/overall: 14/20,beer/style: Brown Ale,beer/name: The Duck-Rabbit Brown Alebeer/beerId: 38877,review/profileName: performula,review/time: 1190160000,NO
14873,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 14/20,beer/style: Scotch Ale,beer/name: The Duck-Rabbit Wee Heavy Scotch Style Alebeer/beerId: 59173,review/profileName: beerbuzzmontreal,review/time: 1192579200,NO
13500,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 13/20,beer/style: Abbey Tripel,beer/name: Brunehaut Abbaye de Saint-Martin Triplebeer/beerId: 100762,review/profileName: tennessejed420,review/time: 1320796800,YES
26465,review/appearance: 4/5,review/palate: 4/5,review/taste: 8/10,review/overall: 16/20,beer/style: India Pale Ale (IPA),beer/name: Mountain Goat Rare Breed IPAbeer/beerId: 117434,review/profileName: Dredd,review/time: 1265241600,NO
28314,review/appearance: 5/5,review/palate: 5/5,review/taste: 7/10,review/overall: 13/20,beer/name: The Duck-Rabbit Barleywinebeer/beerId: 67542,beer/style: Barley Wine,review/profileName: vtafro,review/time: 1270080000,NO
8496,review/appearance: 3/5,review/palate: 2/5,review/taste: 6/10,review/overall: 12/20,beer/style: Dortmunder/Helles,beer/name: Het Klaverblad Phoenix Amersfoort Export 70-07beer/beerId: 80510,review/profileName: bierkoning,review/time: 1194393600,YES
5994,review/appearance: 2/5,review/palate: 2/5,review/taste: 5/10,review/overall: 8/20,beer/style: Wheat Ale,beer/name: Big River Grille Wowzers Summer Wheatbeer/beerId: 16588,review/profileName: harlequinn,review/time: 1091923200,NO
26534,review/appearance: 4/5,review/palate: 4/5,review/taste: 8/10,review/overall: 16/20,beer/style: Scotch Ale,beer/name: The Duck-Rabbit Wee Heavy Scotch Style Alebeer/beerId: 59173,review/profileName: BleacherBum,review/time: 1173398400,NO
25473,review/appearance: 4/5,review/palate: 4/5,review/taste: 7/10,review/overall: 16/20,beer/style: American Strong Ale,beer/name: Sonoran 200beer/beerId: 110822,review/profileName: decaturstevo,review/time: 1317772800,NO
8331,review/appearance: 3/5,review/palate: 2/5,review/taste: 6/10,review/overall: 10/20,beer/style: English Strong Ale,beer/name: Hebridean Berserkerbeer/beerId: 31442,review/profileName: berkshirejohn,review/time: 1299715200,YES
4359,beer/name: Chimay Triple / Blanche (White) / Cinq Centsbeer/beerId: 52,beer/style: Abbey Tripel,review/appearance: 5/5,review/palate: 4/5,review/taste: 8/10,review/overall: 15/20,review/time: 1190160000,review/profileName: BeerVirgin72,YES
14361,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 14/20,beer/style: Belgian Ale,beer/name: Brunehaut Abbaye de Saint-Martin Blondebeer/beerId: 19047,review/profileName: thegreenrooster,review/time: 1297468800,YES
19089,review/appearance: 4/5,beer/name: Chimay Rouge (Red) / Premirebeer/beerId: 51,beer/style: Abbey Dubbel,review/palate: 4/5,review/taste: 7/10,review/overall: 16/20,review/time: 1176508800,review/profileName: talon1117,YES
8463,review/appearance: 3/5,review/palate: 2/5,review/taste: 6/10,review/overall: 12/20,beer/style: Belgian Ale,beer/name: Chimay Dore / Refterbierbeer/beerId: 14228,review/profileName: madsberg,review/time: 1108080000,YES
24150,review/appearance: 4/5,review/palate: 4/5,review/taste: 6/10,review/overall: 14/20,beer/style: Brown Ale,beer/name: The Duck-Rabbit Brown Alebeer/beerId: 38877,review/profileName: mhelgason,review/time: 1176768000,NO
21930,review/appearance: 4/5,review/palate: 3/5,review/taste: 7/10,review/overall: 13/20,beer/style: Heller Bock,beer/name: Staffelberg-Bru Heller Bockbeer/beerId: 87680,review/profileName: jonas,review/time: 1219190400,YES
17029,review/appearance: 3/5,review/palate: 4/5,review/taste: 7/10,review/overall: 14/20,beer/style: Belgian Strong Ale,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,review/profileName: Savvy1982,review/time: 1244073600,YES
27859,review/appearance: 5/5,review/palate: 4/5,review/taste: 7/10,review/overall: 15/20,beer/name: BraufactuM Darkonbeer/beerId: 136581,beer/style: Schwarzbier,review/profileName: Bov,review/time: 1305763200,YES
11451,review/appearance: 3/5,review/palate: 3/5,review/taste: 6/10,review/overall: 12/20,beer/style: German Hefeweizen,beer/name: Kannah Creek Highside Hefeweizenbeer/beerId: 71010,review/profileName: douglas88,review/time: 1225670400,YES
12166,review/appearance: 3/5,review/palate: 3/5,review/taste: 6/10,review/overall: 13/20,beer/style: Brown Ale,beer/name: Sailor Hagars Grizzly Nut Brownbeer/beerId: 13671,review/profileName: CapFlu,review/time: 1152144000,NO
22924,review/appearance: 4/5,review/palate: 3/5,review/taste: 7/10,review/overall: 15/20,beer/style: Stout,beer/name: Barley Island Beastie Barrel Stoutbeer/beerId: 91689,review/profileName: SuperDave,review/time: 1243036800,NO
8158,review/appearance: 3/5,review/palate: 2/5,review/taste: 5/10,review/overall: 12/20,beer/style: Stout,beer/name: Barley Island Black Majic Java Stoutbeer/beerId: 56572,review/profileName: awiseman01,review/time: 1264809600,NO
12757,review/appearance: 3/5,review/palate: 3/5,review/taste: 6/10,review/overall: 14/20,beer/style: India Pale Ale (IPA),beer/name: Barley Island Barfly IPAbeer/beerId: 58511,review/profileName: BrianDorry55,review/time: 1278201600,NO
23981,review/appearance: 4/5,review/palate: 4/5,review/taste: 6/10,review/overall: 13/20,beer/style: Abbey Tripel,beer/name: La Ramee Amberbeer/beerId: 8879,review/profileName: mjs,review/time: 1208736000,NO
7,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,beer/style: Belgian Strong Ale,review/appearance: 3/5,review/palate: 4/5,review/taste: 7/10,review/overall: 17/20,review/time: 1225497600,review/profileName: bchlala,YES
25684,review/appearance: 4/5,review/palate: 4/5,review/taste: 7/10,review/overall: 16/20,beer/style: Sweet Stout,beer/name: The Duck-Rabbit Milk Stoutbeer/beerId: 38879,review/profileName: Beffrey2,review/time: 1170460800,NO
20144,review/appearance: 4/5,review/palate: 3/5,review/taste: 5/10,review/overall: 10/20,beer/style: Baltic Porter,beer/name: The Duck-Rabbit Baltic Porterbeer/beerId: 63820,review/profileName: glkaiser,review/time: 1222214400,NO
17149,review/appearance: 3/5,review/palate: 4/5,review/taste: 7/10,review/overall: 14/20,beer/style: Pilsener,beer/name: Staffelberg-Bru Hopfen-Gold Pilsbeer/beerId: 24949,review/profileName: omhper,review/time: 1249516800,YES
5114,review/appearance: 1/5,review/palate: 2/5,review/taste: 4/10,review/overall: 9/20,beer/style: Pale Lager,beer/name: Hararbeer/beerId: 8840,review/profileName: maniac,review/time: 1244505600,NO
655,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,beer/style: Belgian Strong Ale,review/appearance: 4/5,review/palate: 4/5,review/taste: 8/10,review/overall: 17/20,review/time: 1319932800,review/profileName: Cunningham,YES
15475,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 15/20,beer/style: Spice/Herb/Vegetable,beer/name: Mountain Goat Seedy Goat Coffee IPAbeer/beerId: 150918,review/profileName: maneliquor,review/time: 1315526400,NO
1397,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,beer/style: Belgian Strong Ale,review/appearance: 5/5,review/palate: 4/5,review/taste: 7/10,review/overall: 15/20,review/time: 1148342400,review/profileName: swiseman,YES
25150,review/appearance: 4/5,review/palate: 4/5,review/taste: 7/10,review/overall: 15/20,beer/style: Brown Ale,beer/name: The Duck-Rabbit Brown Alebeer/beerId: 38877,review/profileName: SuIIy,review/time: 1257206400,NO
23029,review/appearance: 4/5,review/palate: 3/5,review/taste: 7/10,review/overall: 16/20,beer/style: Belgian Ale,beer/name: John Harvards Grand Crubeer/beerId: 71719,review/profileName: egajdzis,review/time: 1102896000,YES
8589,review/appearance: 3/5,review/palate: 2/5,review/taste: 6/10,review/overall: 13/20,beer/style: Porter,beer/name: Barley Island Beastie Barrel Porterbeer/beerId: 102023,review/profileName: egajdzis,review/time: 1120694400,NO
4192,beer/name: Chimay Triple / Blanche (White) / Cinq Centsbeer/beerId: 52,beer/style: Abbey Tripel,review/appearance: 5/5,review/palate: 3/5,review/taste: 6/10,review/overall: 14/20,review/time: 1099785600,review/profileName: eboats,YES
9208,review/appearance: 3/5,review/palate: 3/5,review/taste: 5/10,review/overall: 10/20,beer/style: Belgian Ale,beer/name: Daas Blondbeer/beerId: 101632,review/profileName: DonMagi,review/time: 1259020800,YES
1943,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,beer/style: Belgian Strong Ale,review/appearance: 5/5,review/palate: 5/5,review/taste: 9/10,review/overall: 17/20,review/time: 1038441600,review/profileName: PorterPounder,YES
8318,review/appearance: 3/5,review/palate: 2/5,review/taste: 6/10,review/overall: 10/20,beer/style: Belgian Ale,beer/name: Chimay Dore / Refterbierbeer/beerId: 14228,review/profileName: elektronikfagtekniker,review/time: 1155168000,YES
17512,review/appearance: 3/5,review/palate: 4/5,review/taste: 7/10,review/overall: 16/20,beer/style: Barley Wine,beer/name: The Duck-Rabbit Barleywinebeer/beerId: 67542,review/profileName: Lyncham,review/time: 1285804800,NO
20089,review/appearance: 4/5,review/palate: 3/5,review/taste: 4/10,review/overall: 11/20,beer/style: Porter,beer/name: Williamsburg Porterbeer/beerId: 7841,review/profileName: sloth,review/time: 1119225600,NO
21123,review/appearance: 4/5,review/palate: 3/5,review/taste: 6/10,review/overall: 13/20,beer/style: Imperial Stout,beer/name: The Duck-Rabbit Rabid Duck Russian Imperial Stoutbeer/beerId: 54634,review/profileName: TheCheeseMan,review/time: 1187740800,YES
12831,review/appearance: 3/5,review/palate: 3/5,review/taste: 6/10,review/overall: 14/20,beer/style: Specialty Grain,beer/name: Montgomery Roggenbierbeer/beerId: 51767,review/profileName: Walt,review/time: 1128384000,NO
8418,review/appearance: 3/5,review/palate: 2/5,review/taste: 6/10,review/overall: 11/20,beer/style: Porter,beer/name: Wolf Black Tail Porterbeer/beerId: 153377,review/profileName: manuchampions,review/time: 1315353600,NO
21233,review/appearance: 4/5,review/palate: 3/5,review/taste: 6/10,review/overall: 13/20,beer/style: Stout,beer/name: South Shore Rhoades Scholar Stoutbeer/beerId: 14761,review/profileName: restless7,review/time: 1209859200,NO
12800,review/appearance: 3/5,review/palate: 3/5,review/taste: 6/10,review/overall: 14/20,beer/style: Porter,beer/name: The Duck-Rabbit Porterbeer/beerId: 38878,review/profileName: BeerandBlues2,review/time: 1161648000,NO
12957,review/appearance: 3/5,review/palate: 3/5,review/taste: 6/10,review/overall: 15/20,beer/style: Brown Ale,beer/name: The Duck-Rabbit Brown Alebeer/beerId: 38877,review/profileName: Brewbie,review/time: 1232236800,NO
12307,review/appearance: 3/5,review/palate: 3/5,review/taste: 6/10,review/overall: 13/20,beer/style: Golden Ale/Blond Ale,beer/name: Casta Doradabeer/beerId: 7921,review/profileName: ante,review/time: 1119744000,NO
18388,review/appearance: 4/5,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,beer/style: Belgian Strong Ale,review/palate: 4/5,review/taste: 7/10,review/overall: 14/20,review/time: 1177545600,review/profileName: pfhyde,YES
13987,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 13/20,beer/style: Pilsener,beer/name: Belle Gueule Pilsnerbeer/beerId: 8133,review/profileName: Radek Kliber,review/time: 1080345600,NO
13846,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 13/20,beer/style: English Strong Ale,beer/name: Hebridean Berserkerbeer/beerId: 31442,review/profileName: douglas88,review/time: 1284422400,YES
2587,beer/name: Chimay Rouge (Red) / Premirebeer/beerId: 51,beer/style: Abbey Dubbel,review/appearance: 4/5,review/palate: 4/5,review/taste: 8/10,review/overall: 18/20,review/time: 1024444800,review/profileName: Gunshy,YES
26197,review/appearance: 4/5,review/palate: 4/5,review/taste: 8/10,review/overall: 15/20,beer/style: Zwickel/Keller/Landbier,beer/name: Wilde Rose Kellerbierbeer/beerId: 17670,review/profileName: TAR,review/time: 1325289600,YES
5877,review/appearance: 2/5,review/palate: 2/5,review/taste: 5/10,review/overall: 10/20,beer/style: Wheat Ale,beer/name: Williamsburg Wheat Alebeer/beerId: 7840,review/profileName: YourDarkLord,review/time: 1087776000,NO
25228,review/appearance: 4/5,review/palate: 4/5,review/taste: 7/10,review/overall: 15/20,beer/style: India Pale Ale (IPA),beer/name: Barley Island Barfly IPAbeer/beerId: 58511,review/profileName: jrhammonds,review/time: 1186963200,NO
10320,review/appearance: 3/5,review/palate: 3/5,review/taste: 5/10,review/overall: 9/20,beer/style: Wheat Ale,beer/name: Barley Island Flat Belly Wheat (Flat Top)beer/beerId: 19689,review/profileName: MapleCity219,review/time: 1291420800,NO
2120,beer/name: Chimay Rouge (Red) / Premirebeer/beerId: 51,beer/style: Abbey Dubbel,review/appearance: 3/5,review/palate: 4/5,review/taste: 8/10,review/overall: 16/20,review/time: 1312588800,review/profileName: HeistAlmighty,YES
20501,review/appearance: 4/5,review/palate: 3/5,review/taste: 6/10,review/overall: 11/20,beer/style: Amber Ale,beer/name: The Duck-Rabbit Amber Alebeer/beerId: 38876,review/profileName: Volgon,review/time: 1100217600,NO
27584,review/appearance: 5/5,review/palate: 3/5,review/taste: 7/10,review/overall: 13/20,beer/name: Sailor Hagars Lohins ESBbeer/beerId: 5977,beer/style: Premium Bitter/ESB,review/profileName: fiulijn,review/time: 1276992000,NO
14546,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 14/20,beer/style: Brown Ale,beer/name: The Duck-Rabbit Brown Alebeer/beerId: 38877,review/profileName: osu97gp,review/time: 1296950400,NO
20919,review/appearance: 4/5,review/palate: 3/5,review/taste: 6/10,review/overall: 13/20,beer/style: Abbey Dubbel,beer/name: Chimay Rouge (Red) / Premirebeer/beerId: 51,review/profileName: Stine,review/time: 1179446400,YES
924,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,beer/style: Belgian Strong Ale,review/appearance: 4/5,review/palate: 4/5,review/taste: 9/10,review/overall: 18/20,review/time: 1132358400,review/profileName: tinydancer,YES
4578,beer/name: Chimay Triple / Blanche (White) / Cinq Centsbeer/beerId: 52,beer/style: Abbey Tripel,review/appearance: 5/5,review/palate: 5/5,review/taste: 8/10,review/overall: 17/20,review/time: 1175040000,review/profileName: DarkFaerytale,NO
6090,review/appearance: 2/5,review/palate: 2/5,review/taste: 6/10,review/overall: 11/20,beer/style: Dortmunder/Helles,beer/name: City Steam Blonde Export Lagerbeer/beerId: 30689,review/profileName: Aurelius,review/time: 1075334400,YES
3899,beer/name: Chimay Triple / Blanche (White) / Cinq Centsbeer/beerId: 52,beer/style: Abbey Tripel,review/appearance: 4/5,review/palate: 4/5,review/taste: 8/10,review/overall: 17/20,review/time: 1171497600,review/profileName: wernesgruner,YES
2848,beer/name: Chimay Rouge (Red) / Premirebeer/beerId: 51,beer/style: Abbey Dubbel,review/appearance: 5/5,review/palate: 3/5,review/taste: 4/10,review/overall: 12/20,review/time: 1260057600,review/profileName: mcbeyond,YES
27696,review/appearance: 5/5,review/palate: 3/5,review/taste: 9/10,review/overall: 17/20,beer/name: Yaegaki Nigori Sakebeer/beerId: 82570,beer/style: Sak - Nigori,review/profileName: bpreo,review/time: 1267833600,NO
25356,review/appearance: 4/5,review/palate: 4/5,review/taste: 7/10,review/overall: 15/20,beer/style: Scotch Ale,beer/name: The Duck-Rabbit Wee Heavy Scotch Style Alebeer/beerId: 59173,review/profileName: mcox90,review/time: 1193529600,NO
9016,review/appearance: 3/5,review/palate: 3/5,review/taste: 4/10,review/overall: 8/20,beer/style: Abbey Tripel,beer/name: Brunehaut Abbaye de Saint-Martin Triplebeer/beerId: 100762,review/profileName: faroeviking,review/time: 1312761600,YES
6654,review/appearance: 2/5,review/palate: 3/5,review/taste: 6/10,review/overall: 12/20,beer/style: Wheat Ale,beer/name: Liquid Bread American Wheatbeer/beerId: 51651,review/profileName: csaso,review/time: 1318982400,NO
3297,beer/name: Chimay Triple / Blanche (White) / Cinq Centsbeer/beerId: 52,beer/style: Abbey Tripel,review/appearance: 3/5,review/palate: 4/5,review/taste: 8/10,review/overall: 17/20,review/time: 1038096000,review/profileName: Gusler,YES
23417,review/appearance: 4/5,review/palate: 3/5,review/taste: 8/10,review/overall: 15/20,beer/name: The Duck-Rabbit Rabid Duck Russian Imperial Stoutbeer/beerId: 54634,beer/style: Imperial Stout,review/profileName: wnoble,review/time: 1310256000,NO
6855,review/appearance: 2/5,review/palate: 3/5,review/taste: 7/10,review/overall: 15/20,beer/name: Eldridge Pope Thomas Hardys Ale (all vintages to 1999)beer/beerId: 999,beer/style: Barley Wine,review/profileName: frylock,review/time: 1146182400,NO
1137,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,beer/style: Belgian Strong Ale,review/appearance: 4/5,review/palate: 5/5,review/taste: 8/10,review/overall: 17/20,review/time: 1157587200,review/profileName: jonnabrix,YES
17274,review/appearance: 3/5,review/palate: 4/5,review/taste: 7/10,review/overall: 15/20,beer/style: Barley Wine,beer/name: Eldridge Pope Thomas Hardys Ale (all vintages to 1999)beer/beerId: 999,review/profileName: Ungstrup,review/time: 1222128000,NO
16061,review/appearance: 3/5,review/palate: 3/5,review/taste: 8/10,review/overall: 15/20,beer/style: Doppelbock,beer/name: Eick Bru Gievitzer Doppelbockbeer/beerId: 95253,review/profileName: Papsoe,review/time: 1232064000,YES
5090,review/appearance: 1/5,review/palate: 2/5,review/taste: 3/10,review/overall: 6/20,beer/style: Pilsener,beer/name: Belle Gueule Pilsnerbeer/beerId: 8133,review/profileName: unibrouefan,review/time: 1139097600,NO
5624,review/appearance: 2/5,review/palate: 2/5,review/taste: 4/10,review/overall: 7/20,beer/style: Low Alcohol,beer/name: Thorbru Leichte Weissebeer/beerId: 31391,review/profileName: Papsoe,review/time: 1287273600,YES
14903,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 14/20,beer/style: Spice/Herb/Vegetable,beer/name: City Steam Norwegian Woodbeer/beerId: 42438,review/profileName: MartinT,review/time: 1198022400,YES
4150,beer/name: Chimay Triple / Blanche (White) / Cinq Centsbeer/beerId: 52,beer/style: Abbey Tripel,review/appearance: 4/5,review/palate: 5/5,review/taste: 9/10,review/overall: 17/20,review/time: 1180915200,review/profileName: lucien,YES
20614,review/appearance: 4/5,review/palate: 3/5,review/taste: 6/10,review/overall: 12/20,beer/style: Abbey Dubbel,beer/name: LAlsacienne Sans Culotte Brunebeer/beerId: 49368,review/profileName: larsga,review/time: 1279584000,NO
23017,review/appearance: 4/5,review/palate: 3/5,review/taste: 7/10,review/overall: 16/20,beer/style: Barley Wine,beer/name: Eldridge Pope Thomas Hardys Ale (all vintages to 1999)beer/beerId: 999,review/profileName: Furseth,review/time: 1178064000,NO
